Q1,Q2,Q3,Q4,Class
391,310,444,570,ALCHOOL
390,307,440,562,ALCHOOL
390,306,436,557,ALCHOOL
389,305,432,553,ALCHOOL
389,305,431,554,ALCHOOL
390,304,430,554,ALCHOOL
389,303,429,553,ALCHOOL
390,301,428,550,ALCHOOL
389,300,423,542,ALCHOOL
387,297,420,534,ALCHOOL
387,298,423,539,ALCHOOL
388,301,430,554,ALCHOOL
389,304,434,565,ALCHOOL
389,306,436,571,ALCHOOL
390,306,437,572,ALCHOOL
387,306,438,576,ALCHOOL
389,309,441,580,ALCHOOL
390,310,441,579,ALCHOOL
390,310,442,578,ALCHOOL
390,310,442,578,ALCHOOL
391,310,443,576,ALCHOOL
389,308,440,573,ALCHOOL
389,305,438,562,ALCHOOL
388,302,431,547,ALCHOOL
387,299,426,542,ALCHOOL
388,300,425,547,ALCHOOL
388,300,424,550,ALCHOOL
387,299,424,551,ALCHOOL
386,299,424,552,ALCHOOL
779,648,568,695,FLAMMABLE_GAS
768,630,636,660,FLAMMABLE_GAS
742,596,663,632,FLAMMABLE_GAS
707,556,670,616,FLAMMABLE_GAS
671,521,667,603,FLAMMABLE_GAS
636,491,658,590,FLAMMABLE_GAS
607,465,646,580,FLAMMABLE_GAS
583,449,634,573,FLAMMABLE_GAS
566,434,622,567,FLAMMABLE_GAS
553,422,609,562,FLAMMABLE_GAS
549,415,596,556,FLAMMABLE_GAS
562,426,589,550,FLAMMABLE_GAS
572,439,588,549,FLAMMABLE_GAS
578,448,587,554,FLAMMABLE_GAS
582,454,586,557,FLAMMABLE_GAS
591,461,587,556,FLAMMABLE_GAS
606,473,595,556,FLAMMABLE_GAS
612,477,601,554,FLAMMABLE_GAS
607,470,602,553,FLAMMABLE_GAS
596,461,601,553,FLAMMABLE_GAS
589,456,598,554,FLAMMABLE_GAS
588,456,597,556,FLAMMABLE_GAS
590,460,597,559,FLAMMABLE_GAS
595,465,597,561,FLAMMABLE_GAS
601,472,601,563,FLAMMABLE_GAS
611,478,605,564,FLAMMABLE_GAS
618,483,609,569,FLAMMABLE_GAS
625,491,613,577,FLAMMABLE_GAS
630,497,618,582,FLAMMABLE_GAS
636,501,622,582,FLAMMABLE_GAS
639,505,630,586,FLAMMABLE_GAS
641,507,636,586,FLAMMABLE_GAS
642,510,644,586,FLAMMABLE_GAS
643,512,650,592,FLAMMABLE_GAS
646,516,654,597,FLAMMABLE_GAS
651,520,658,601,FLAMMABLE_GAS
653,522,663,603,FLAMMABLE_GAS
655,522,668,605,FLAMMABLE_GAS
655,523,672,601,FLAMMABLE_GAS
